nquest;area3;b19b;b19a;b16;ncomp;sex;studio;staciv;cleta5;eta;cfred
678132;3;2;2;2;1;1;3;2;4;64;1
678160;3;2;2;2;3;1;5;1;4;57;1
680143;1;1;2;2;1;2;5;4;5;78;1
680239;1;2;2;2;1;2;2;4;5;83;1
680244;1;2;2;2;4;1;5;1;3;54;1
680430;3;2;2;2;2;1;3;1;4;59;1
680537;1;2;2;1;4;1;3;1;4;55;1
680587;3;2;2;2;4;1;5;1;3;54;1
681097;3;2;2;2;1;2;1;4;5;74;1
681192;1;2;2;2;2;1;3;2;2;38;1
681349;3;2;2;2;2;1;3;1;5;75;1
681387;1;2;2;1;1;2;3;2;4;61;1
681394;2;2;2;2;4;1;5;1;3;51;1
681430;1;2;2;2;1;1;3;2;5;74;1
681499;2;2;2;2;1;2;2;4;5;81;1
681520;3;2;2;2;4;1;3;1;2;43;1
681668;3;2;2;2;2;2;2;1;5;73;1
681822;3;2;2;2;4;1;3;1;3;53;1
682006;1;2;2;2;1;1;5;4;5;86;1
682169;1;2;2;2;1;2;3;4;5;96;1
682192;2;2;2;2;2;1;4;1;5;81;1
682204;3;2;2;2;4;1;5;1;4;57;1
682210;3;2;2;2;1;2;7;2;5;75;1
682240;1;2;2;2;2;1;3;1;5;76;1
682272;1;2;2;2;2;1;3;1;4;56;1
682298;1;2;2;1;5;2;5;2;1;21;1
682359;3;2;2;2;4;1;5;1;4;61;1
682360;3;1;2;2;1;1;1;2;4;60;1
682363;3;2;2;2;1;1;5;4;5;84;1
682408;2;2;2;2;3;1;3;1;3;49;1
682496;2;2;2;2;2;2;2;4;5;93;1
682732;3;2;2;2;1;2;7;2;5;67;1
682737;3;2;2;2;3;2;5;1;5;68;1
682782;2;2;2;2;1;2;3;2;5;75;1
682812;2;2;2;2;2;1;5;1;5;70;1
682829;1;2;2;2;1;1;4;3;5;78;1
682897;2;2;2;2;3;2;3;1;4;59;1
682918;2;2;2;2;2;1;3;1;4;64;1
682969;3;2;2;2;1;2;5;3;5;71;1
683034;1;2;2;2;1;2;4;3;4;63;1
683043;1;2;2;2;1;2;3;4;5;73;1
683119;1;2;2;2;3;1;5;1;3;53;1
683121;1;2;2;2;1;1;2;4;5;83;1
683164;1;2;2;2;5;2;7;1;2;44;1
683177;3;2;2;2;2;1;3;1;5;75;1
683247;3;2;2;2;3;1;3;1;5;68;1
683248;3;2;2;2;3;1;5;1;5;72;1
683349;1;2;2;2;7;1;7;1;4;56;1
683373;3;2;2;2;4;2;7;1;4;60;1
683399;1;2;2;2;1;1;7;2;5;71;1
683472;1;2;2;2;4;1;5;1;4;64;1
683645;2;2;2;2;2;1;4;1;5;78;1
683650;2;2;2;2;2;1;2;1;5;78;1
683661;3;2;2;2;2;1;5;1;5;71;1
683669;3;2;2;2;3;2;5;1;4;62;1
683727;3;2;2;2;3;1;5;2;1;30;1
683767;1;2;2;2;2;2;4;1;5;68;1
683782;3;2;2;2;2;1;3;1;4;60;1
683785;3;2;2;2;1;1;5;4;5;72;1
683896;1;2;2;2;2;1;2;1;5;75;1
683991;3;2;2;2;3;1;3;1;5;68;1
684000;3;2;2;2;3;1;3;1;4;57;1
684063;3;2;2;2;2;1;3;1;5;70;1
684259;3;2;2;2;4;1;5;1;4;63;1
684279;1;2;2;1;1;2;3;3;5;66;1
684359;1;2;2;2;2;2;5;1;5;68;1
684434;2;2;2;2;2;1;5;1;5;84;1
684454;3;2;2;2;2;1;3;1;5;76;1
684524;2;2;2;2;1;2;3;4;5;81;1
684525;2;2;2;2;2;1;7;1;4;64;1
684671;3;2;2;2;2;1;3;1;4;61;1
684740;3;2;2;2;4;1;3;1;3;48;1
684885;3;2;2;2;2;1;5;1;5;69;1
684937;3;2;2;2;2;1;5;1;5;76;1
685016;3;2;2;2;2;1;3;1;4;63;1
685058;3;2;2;2;1;1;3;3;5;67;1
685130;3;2;2;2;1;2;2;4;5;84;1
685149;3;2;2;2;2;1;2;1;5;69;1
685164;1;2;2;2;2;1;8;1;5;67;1
685296;2;2;2;2;2;1;5;1;4;55;1
685297;2;2;2;2;2;2;2;4;5;91;1
685299;2;2;2;2;3;1;4;1;4;57;1
685300;3;2;2;2;1;2;4;4;5;74;1
685301;3;2;2;2;3;1;3;1;3;52;1
685368;3;2;2;2;3;1;3;1;4;62;1
685451;1;2;2;2;1;2;3;4;5;88;1
685537;3;2;2;2;2;1;2;1;5;76;1
685560;1;2;2;2;1;2;3;4;5;78;1
685734;3;2;2;2;1;2;4;4;5;76;1
685747;3;2;2;2;1;2;2;4;5;85;1
685780;1;2;2;2;5;1;7;1;5;74;1
685812;3;2;2;2;4;2;7;1;3;52;1
685891;3;2;2;2;2;1;3;1;5;77;1
685895;3;2;2;2;2;1;3;1;5;76;1
685902;3;2;2;2;5;2;5;3;3;49;1
685905;3;2;2;2;3;1;5;1;4;64;1
685906;3;2;2;2;1;2;2;4;5;70;1
685965;3;2;2;2;3;1;2;1;5;78;1
686014;3;2;2;2;4;1;3;1;4;59;1
686133;1;2;2;2;1;1;5;4;5;79;1
686185;2;2;2;1;2;2;5;3;4;64;1
686190;2;2;2;2;2;1;5;3;3;54;1
686429;2;2;2;2;1;2;2;4;5;89;1
686579;2;2;2;2;1;2;2;4;5;84;1
686657;1;2;2;2;1;2;5;4;5;69;1
686717;1;2;2;2;2;1;3;2;1;24;1
686806;2;2;2;2;2;2;2;3;3;54;1
686863;3;2;2;2;1;2;2;4;5;87;1
686866;3;2;2;1;4;1;3;1;4;59;1
686913;3;2;2;2;2;1;2;1;5;82;1
687007;2;2;2;2;1;2;2;4;5;89;1
687018;2;2;2;2;1;2;2;4;5;90;1
687022;2;2;2;1;2;1;5;1;4;58;1
687039;3;2;2;2;1;2;2;4;5;90;1
687070;1;2;2;2;2;1;2;1;4;61;1
687164;3;2;2;2;1;1;2;4;5;71;1
687250;1;2;2;2;2;1;7;1;5;72;1
687287;3;2;2;2;4;1;3;1;2;42;1
687291;3;2;2;2;2;1;3;1;5;69;1
687321;3;2;2;2;4;1;5;1;3;50;1
687328;3;2;2;2;1;2;3;2;5;78;1
687404;1;2;2;2;2;1;7;1;5;72;1
687685;1;2;2;2;1;2;2;4;5;78;1
687699;1;2;2;1;2;1;7;1;4;60;1
687849;3;2;2;2;2;1;3;2;3;50;1
687892;3;2;2;2;2;2;2;2;5;81;1
687934;1;2;2;2;6;2;5;1;2;42;1
687938;3;2;2;2;3;2;3;2;1;19;1
687971;2;2;2;2;3;1;5;3;3;46;1
687987;1;2;2;2;4;1;3;1;4;63;1
687990;1;2;2;2;2;1;4;2;5;83;1
688194;1;2;2;2;2;1;5;1;5;76;1
688250;3;2;2;2;2;2;3;1;4;60;1
688264;3;2;2;2;4;1;5;1;3;52;1
700037;3;2;2;2;3;2;3;1;3;52;1
700729;1;2;2;2;2;1;4;2;3;47;1
700740;1;2;2;2;4;1;3;1;4;62;1
701240;3;2;2;2;3;1;3;1;4;56;1
701579;1;2;2;2;2;1;4;1;5;84;1
702643;2;2;2;2;3;1;2;4;5;84;1
703258;2;2;2;2;2;1;5;1;5;82;1
703830;2;2;2;2;2;2;5;1;5;68;1
704702;2;2;2;2;1;2;3;3;4;59;1
704752;2;2;2;2;1;1;7;3;5;73;1
704766;2;2;2;2;1;2;2;4;5;82;1
704911;2;2;2;2;2;1;3;1;4;64;1
705116;1;2;2;1;4;1;5;1;2;44;1
705244;1;2;2;2;2;1;3;1;5;78;1
706224;3;2;2;2;3;1;3;1;4;64;1
706234;3;2;2;2;2;1;5;2;3;51;1
706258;3;2;2;2;1;1;7;3;5;74;1
706422;1;2;2;2;1;1;3;3;4;61;1
706448;1;2;2;2;1;1;7;3;5;85;1
706634;2;2;2;2;3;1;5;2;1;32;1
706727;1;2;2;2;2;1;7;2;1;25;1
706900;1;2;2;2;3;1;4;1;5;79;1
706921;1;2;2;2;1;2;4;3;5;73;1
707104;2;2;2;2;2;2;3;2;3;45;1
707253;2;2;2;2;1;2;5;3;4;64;1
707312;1;2;2;2;2;1;7;1;5;70;1
707523;1;2;2;2;1;2;4;2;5;72;1
